"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"1","1.3.69.63","1.3.69",-16.35594828,-71.55137766,"2016-05-13",1,0.053676840086704,0.145168783872151,3,"#BD0026"
"2","1.3.69.73","1.3.69",-16.35585535,-71.55164119,"1997-01-01",1,0.0497066669408253,0.136970889583358,22,"#BD0026"
"3","1.3.69.73A","1.3.69",-16.35585535,-71.55164119,"2016-05-13",1,0.0497066669408253,0.136970889583358,3,"#BD0026"
"4","1.3.69.70","1.3.69",-16.3561199,-71.55167396,"2016-09-16",1,0.0468225609658826,0.134396944841291,3,"#BD0026"
"5","1.3.69.888","1.3.69",-16.34949328,-71.54840729,"1997-01-01",1,0.0378332064354297,0.12091338519231,22,"#BD0026"
"6","1.3.69.71","1.3.69",-16.35602555,-71.55164504,"2016-09-16",0,0.0378256471920237,0.119025284255041,3,"#BD0026"
"7","1.3.70.101","1.3.70",-16.34893451,-71.55030641,"1997-01-01",1,0.0372808128967543,0.120054786873713,22,"#BD0026"
"8","1.3.69.72","1.3.69",-16.35594415,-71.55165275,"2016-09-16",0,0.0369681604679213,0.116277387797589,3,"#BD0026"
"9","1.3.69.581","1.3.69",-16.35113326,-71.5519612,"1997-01-01",1,0.0365954238194629,0.120974875911297,22,"#BD0026"
"10","1.3.69.23","1.3.69",-16.35699613,-71.55186189,"2016-09-16",1,0.0358101837390099,0.112355321308573,3,"#BD0026"
"11","1.3.67.1","1.3.67",-16.35174397,-71.54756738,"1997-01-01",1,0.0356967906246369,0.121364295684082,22,"#BD0026"
"12","1.3.69.897","1.3.69",-16.34939758,-71.54834569,"1997-01-01",1,0.0352491668226588,0.114453305860101,22,"#BD0026"
"13","1.3.69.914","1.3.69",-16.34958053,-71.54798635,"1997-01-01",1,0.0351824498238087,0.114809692399421,22,"#BD0026"
"14","1.3.69.818","1.3.69",-16.35003956,-71.55105384,"1997-01-01",1,0.0351217846314146,0.114575523860021,22,"#BD0026"
"15","1.3.69.821","1.3.69",-16.34989926,-71.55130449,"1997-01-01",1,0.0349674088501829,0.112807572170455,22,"#BD0026"
"16","1.3.67.175","1.3.67",-16.35059085,-71.5461498,"1997-01-01",1,0.0349397918677495,0.119407781578958,22,"#BD0026"
"17","1.3.49.272","1.3.49",-16.34978331,-71.5449789,"1997-01-01",1,0.034612958216565,0.115201601963402,22,"#BD0026"
"18","1.3.69.768","1.3.69",-16.34986064,-71.5483656,"1997-01-01",1,0.0345376645198689,0.113429343279882,22,"#BD0026"
"19","1.3.69.455","1.3.69",-16.35307887,-71.55258156,"1997-01-01",1,0.0343260058832554,0.11704391658892,22,"#BD0026"
"20","1.3.69.64","1.3.69",-16.35606562,-71.55139697,"2016-05-13",0,0.0339018258964467,0.110786564039402,3,"#BD0026"
"21","1.3.68.40","1.3.68",-16.35289124,-71.54693548,"1997-01-01",1,0.0337694933156343,0.116291154576559,22,"#BD0026"
"22","1.3.69.822","1.3.69",-16.34983913,-71.55125357,"1997-01-01",1,0.0336295585249685,0.108759469179494,22,"#BD0026"
"23","1.3.67.90","1.3.67",-16.35195848,-71.54694109,"1997-01-01",1,0.0336282802221212,0.11597496252626,22,"#BD0026"
"24","1.3.67.97","1.3.67",-16.35206139,-71.54731951,"1997-01-01",1,0.0333323259303962,0.115216188255356,22,"#BD0026"
"25","1.3.68.35","1.3.68",-16.35310393,-71.54796048,"1997-01-01",1,0.0329541932221322,0.114251203749996,22,"#BD0026"
"26","1.3.67.91","1.3.67",-16.35225572,-71.54699825,"1997-01-01",1,0.0328672167070403,0.113973686696756,22,"#BD0026"
"27","1.3.67.100","1.3.67",-16.35260761,-71.54718977,"1997-01-01",1,0.0326929903635786,0.113512591595247,22,"#BD0026"
"28","1.3.69.421","1.3.69",-16.353527,-71.55233782,"1997-01-01",1,0.0325603807550526,0.108960913219301,22,"#BD0026"
"29","1.3.50.164","1.3.50",-16.34195547,-71.54710789,"1997-01-01",1,0.0324886385109769,0.111245977488404,22,"#BD0026"
"30","1.3.69.416","1.3.69",-16.35378991,-71.55222255,"1997-01-01",1,0.0324566260844239,0.110373462089294,22,"#BD0026"
"31","1.3.69.494","1.3.69",-16.35115316,-71.55261134,"1997-01-01",1,0.0321065859578811,0.111956432957497,22,"#BD0026"
"32","1.3.67.8","1.3.67",-16.35133435,-71.54793714,"1997-01-01",1,0.0320545577378153,0.112349646517442,22,"#BD0026"
"33","1.3.67.176","1.3.67",-16.34998666,-71.54589763,"1997-01-01",1,0.0319267664762518,0.111633163685723,22,"#BD0026"
"34","1.3.67.108","1.3.67",-16.35264586,-71.54699176,"1997-01-01",1,0.0319251940460926,0.111486945693573,22,"#BD0026"
"35","1.3.67.99","1.3.67",-16.35245289,-71.5471755,"1997-01-01",1,0.0319130956958001,0.111467649326401,22,"#BD0026"
"36","1.3.69.554","1.3.69",-16.35007836,-71.5514176,"1997-01-01",1,0.0318921697384843,0.109110293585734,22,"#BD0026"
"37","1.3.69.2","1.3.69",-16.36416737,-71.55157266,"1997-01-01",1,0.0317991149688719,0.111196453360747,22,"#BD0026"
"38","1.3.67.21","1.3.67",-16.35116464,-71.54732552,"1997-01-01",1,0.0317306744634227,0.111369515396816,22,"#BD0026"
"39","1.3.68.25","1.3.68",-16.35218004,-71.54780867,"1997-01-01",1,0.0315545562054123,0.110548771352375,22,"#BD0026"
"40","1.3.69.555","1.3.69",-16.35012349,-71.55133049,"1997-01-01",1,0.0315316246147288,0.107891029550662,22,"#BD0026"
"41","1.3.68.36","1.3.68",-16.35392158,-71.54671686,"1997-01-01",1,0.031441218116485,0.110258956115005,22,"#BD0026"
"42","1.3.67.70","1.3.67",-16.35125076,-71.54719001,"1997-01-01",1,0.0313588859541036,0.110166625812659,22,"#BD0026"
"43","1.3.72.41","1.3.72",-16.34446551,-71.54711139,"2016-09-30",1,0.0313561418694364,0.104721351827914,3,"#BD0026"
"44","1.3.67.13","1.3.67",-16.35135719,-71.54741186,"1997-01-01",1,0.0312435243710904,0.110009537033408,22,"#BD0026"
"45","1.3.73.31","1.3.73",-16.34742625,-71.55051082,"1997-01-01",1,0.0310767048106447,0.110985206613807,22,"#BD0026"
"46","1.3.67.130","1.3.67",-16.35117224,-71.54631099,"1997-01-01",1,0.0310427431734142,0.109213213514088,22,"#BD0026"
"47","1.3.68.9","1.3.68",-16.35171888,-71.54828078,"1997-01-01",1,0.030961033101251,0.109244562679524,22,"#BD0026"
"48","1.3.68.8","1.3.68",-16.35188052,-71.54834654,"1997-01-01",1,0.0308691284918702,0.10868232509337,22,"#BD0026"
"49","1.3.72.60","1.3.72",-16.34353786,-71.54748831,"1997-01-01",1,0.0308160408993973,0.107134573051174,22,"#BD0026"
"50","1.3.69.1","1.3.69",-16.36401482,-71.55234105,"1997-01-01",1,0.0308048811452901,0.108551352115849,22,"#BD0026"
"51","1.3.69.967","1.3.69",-16.34951864,-71.5467861,"1997-01-01",1,0.0307619358645114,0.109700248831065,22,"#BD0026"
"52","1.3.68.4","1.3.68",-16.35227098,-71.54860914,"1997-01-01",1,0.030675438512192,0.10815168388392,22,"#BD0026"
"53","1.3.50.39","1.3.50",-16.34160596,-71.5458641,"1997-01-01",1,0.0303802888719073,0.108350530467114,22,"#BD0026"
"54","1.3.71.23","1.3.71",-16.34912144,-71.54630678,"1997-01-01",1,0.0303019520398153,0.109728654017765,22,"#BD0026"
"55","1.3.68.3","1.3.68",-16.35250011,-71.54867938,"1997-01-01",1,0.0302771039609979,0.107367405293798,22,"#BD0026"
"56","1.3.69.770","1.3.69",-16.34983873,-71.5481408,"1997-01-01",1,0.0302765278737861,0.102202796035021,22,"#BD0026"
"57","1.3.69.54","1.3.69",-16.35582417,-71.55187114,"2016-09-16",1,0.03012167704382,0.10052217951265,3,"#BD0026"
"58","1.3.73.21","1.3.73",-16.3484481,-71.5506982,"1997-01-01",1,0.030117158799509,0.107557227906964,22,"#BD0026"
"59","1.3.68.43","1.3.68",-16.35270274,-71.54647413,"1997-01-01",1,0.0301016164329498,0.106625186022528,22,"#BD0026"
"60","1.3.67.101","1.3.67",-16.35256927,-71.54732533,"1997-01-01",1,0.0300947505358637,0.106615282317885,22,"#BD0026"
"61","1.3.49.210","1.3.49",-16.3487733,-71.54482976,"1997-01-01",1,0.0300495103936339,0.107400972410632,22,"#BD0026"
"62","1.3.50.93","1.3.50",-16.34212427,-71.54684618,"1997-01-01",1,0.0300323873057681,0.102638266536764,22,"#BD0026"
"63","1.3.50.128","1.3.50",-16.3428913,-71.54770996,"1997-01-01",1,0.0299825018877541,0.10711064476258,22,"#BD0026"
"64","1.3.69.599","1.3.69",-16.35127636,-71.55150045,"1997-01-01",1,0.0299211602485591,0.104294726049786,22,"#BD0026"
"65","1.3.67.30","1.3.67",-16.35052705,-71.54725612,"1997-01-01",1,0.0298518376505475,0.107039776095592,22,"#BD0026"
"66","1.3.49.39","1.3.49",-16.34476944,-71.54368586,"1997-01-01",1,0.0298130548965386,0.108237732624817,22,"#BD0026"
"67","1.3.69.943","1.3.69",-16.35002866,-71.54732051,"1997-01-01",1,0.0297834324159724,0.10730034362635,22,"#BD0026"
"68","1.3.69.557","1.3.69",-16.35021544,-71.55117368,"1997-01-01",1,0.0297823081866762,0.102430349916225,22,"#BD0026"
"69","1.3.69.769","1.3.69",-16.3497629,-71.54828833,"2012-09-05",0,0.0297249262180752,0.107508515316165,7,"#BD0026"
"70","1.3.68.37","1.3.68",-16.3528848,-71.5476648,"1997-01-01",1,0.0297135693743797,0.105585651328243,22,"#BD0026"
"71","1.3.48.163","1.3.48",-16.34355827,-71.54653746,"1997-01-01",1,0.0296860277722511,0.106783407498923,22,"#BD0026"
"72","1.3.67.34","1.3.67",-16.35065032,-71.54697704,"1997-01-01",1,0.029659307134726,0.106045958721506,22,"#BD0026"
"73","1.3.68.39","1.3.68",-16.35288256,-71.54733794,"1997-01-01",1,0.0295567452293551,0.10514801328999,22,"#BD0026"
"74","1.3.49.37","1.3.49",-16.344875,-71.54378493,"1997-01-01",1,0.0294893051609703,0.10723605151747,22,"#BD0026"
"75","1.3.67.44","1.3.67",-16.35090252,-71.54644104,"1997-01-01",1,0.0294315054319087,0.105083056363769,22,"#BD0026"
"76","1.3.69.767","1.3.69",-16.34993985,-71.54840423,"1997-01-01",1,0.0293957278376381,0.101371525586104,22,"#BD0026"
"77","1.3.50.143","1.3.50",-16.3430903,-71.5476832,"1997-01-01",1,0.029350136593486,0.104934613504065,22,"#BD0026"
"78","1.3.67.109","1.3.67",-16.35245487,-71.54698929,"1997-01-01",1,0.0293378268142432,0.104547414938399,22,"#BD0026"
"79","1.3.71.402","1.3.71",-16.34403523,-71.54600019,"1997-01-01",1,0.029324328955007,0.10204401263673,22,"#BD0026"
"80","1.3.50.154","1.3.50",-16.34222507,-71.54783705,"1997-01-01",1,0.029318609748492,0.105067027785673,22,"#BD0026"
"81","1.3.69.762","1.3.69",-16.35039677,-71.54843635,"1997-01-01",1,0.0293110151688477,0.105371794544349,22,"#BD0026"
"82","1.3.69.971","1.3.69",-16.34967084,-71.54644889,"1997-01-01",1,0.0292232865808901,0.103143470608144,22,"#BD0026"
"83","1.3.68.42","1.3.68",-16.35276838,-71.54663201,"1997-01-01",1,0.0292173547804268,0.104219030209325,22,"#BD0026"
"84","1.3.71.437","1.3.71",-16.34500997,-71.54581615,"1997-01-01",1,0.0291645614228317,0.106443600488728,22,"#BD0026"
"85","1.3.67.52","1.3.67",-16.3508416,-71.54706859,"1997-01-01",1,0.0291201880271657,0.104352245371572,22,"#BD0026"
"86","1.3.69.453","1.3.69",-16.35282136,-71.55247901,"1997-01-01",1,0.0290837745865008,0.104481298126456,22,"#BD0026"
"87","1.3.69.65","1.3.69",-16.35617884,-71.55143558,"2016-09-16",0,0.0290007498089296,0.101528291914924,3,"#BD0026"
"88","1.3.69.865","1.3.69",-16.35023463,-71.55003531,"1997-01-01",1,0.0289762160191385,0.0983698722931486,22,"#BD0026"
"89","1.3.50.57","1.3.50",-16.34082506,-71.54545989,"1997-01-01",1,0.0289410491957814,0.104395666983034,22,"#BD0026"
"90","1.3.69.345","1.3.69",-16.35160986,-71.55182518,"1997-01-01",1,0.0289309507964431,0.102676193443169,22,"#BD0026"
"91","1.3.69.495","1.3.69",-16.35119053,-71.55250385,"1997-01-01",1,0.0288694847584709,0.102626451620887,22,"#BD0026"
"92","1.3.69.873","1.3.69",-16.35049956,-71.54966391,"1997-01-01",1,0.0288397907189727,0.105208779524695,22,"#BD0026"
"93","1.3.67.182","1.3.67",-16.35034886,-71.54517713,"1997-01-01",1,0.0288272313804008,0.103761141348855,22,"#BD0026"
"94","1.3.50.100","1.3.50",-16.34223172,-71.54716642,"1997-01-01",1,0.0287835472263223,0.102560405230852,22,"#BD0026"
"95","1.3.67.96","1.3.67",-16.35201469,-71.54744119,"1997-01-01",1,0.0287830470629657,0.103097287308162,22,"#BD0026"
"96","1.3.67.50","1.3.67",-16.35070274,-71.54684415,"1997-01-01",1,0.0287247288184619,0.103391052978111,22,"#BD0026"
"97","1.3.67.60","1.3.67",-16.35111364,-71.54649567,"1997-01-01",1,0.0286945911678192,0.102939094066487,22,"#BD0026"
"98","1.3.67.183","1.3.67",-16.35056379,-71.54521628,"1997-01-01",1,0.0285536791620681,0.102832501159554,22,"#BD0026"
"99","1.3.69.843","1.3.69",-16.34974646,-71.55035485,"1997-01-01",1,0.0285248647497891,0.101703610064,22,"#BD0026"
"100","1.3.67.106","1.3.67",-16.3525474,-71.54663694,"1997-01-01",1,0.0285163258633139,0.102279895379294,22,"#BD0026"
"101","1.3.68.31","1.3.68",-16.35277224,-71.54778341,"1997-01-01",1,0.0285083352113096,0.102300671221526,22,"#BD0026"
"102","1.3.67.129","1.3.67",-16.35175171,-71.54654955,"1997-01-01",1,0.0284940596516014,0.102240002226405,22,"#BD0026"
"103","1.3.67.110","1.3.67",-16.35202384,-71.54661127,"1997-01-01",1,0.0284849824487075,0.102200592510523,22,"#BD0026"
"104","1.3.68.22","1.3.68",-16.35183863,-71.54800931,"1997-01-01",1,0.0283541455162903,0.102027128843581,22,"#BD0026"
"105","1.3.69.894","1.3.69",-16.34918647,-71.54819169,"1997-01-01",1,0.0283296906638213,0.0987842332195399,22,"#BD0026"
"106","1.3.69.361","1.3.69",-16.35190683,-71.55190781,"1997-01-01",1,0.0283122883181179,0.102934087369181,22,"#BD0026"
"107","1.3.50.43","1.3.50",-16.34134166,-71.54551713,"1997-01-01",1,0.0282986297556897,0.102530311372395,22,"#BD0026"
"108","1.3.67.17","1.3.67",-16.35097762,-71.54763561,"1997-01-01",1,0.0282880674377185,0.102341110296126,22,"#BD0026"
"109","1.3.71.415","1.3.71",-16.34410009,-71.54556312,"1997-01-01",1,0.0282412803651,0.103520785761839,22,"#BD0026"
"110","1.3.69.448","1.3.69",-16.35271354,-71.55279209,"1997-01-01",1,0.028208076296511,0.102097866934933,22,"#BD0026"
"111","1.3.68.18","1.3.68",-16.35202634,-71.54766027,"1997-01-01",1,0.0282073098262361,0.101524682195817,22,"#BD0026"
"112","1.3.67.164","1.3.67",-16.35071559,-71.54532592,"1997-01-01",1,0.0282000640977269,0.101643650698725,22,"#BD0026"
"113","1.3.50.88","1.3.50",-16.34192848,-71.54684618,"1997-01-01",1,0.0281771459433163,0.0989376374887099,22,"#BD0026"
"114","1.3.67.26","1.3.67",-16.35066024,-71.54738606,"1997-01-01",1,0.028155705906998,0.102254850871086,22,"#BD0026"
"115","1.3.67.14","1.3.67",-16.3513205,-71.54750862,"1997-01-01",1,0.0281007295374777,0.101520724284724,22,"#BD0026"
"116","1.3.67.69","1.3.67",-16.35142592,-71.54726007,"1997-01-01",1,0.0280900292942736,0.101260825594751,22,"#BD0026"
"117","1.3.67.172","1.3.67",-16.35069305,-71.54588979,"1997-01-01",1,0.0280856509879761,0.101224649627398,22,"#BD0026"
"118","1.3.67.134","1.3.67",-16.35140595,-71.54600237,"1997-01-01",1,0.0280608329698404,0.101050507348532,22,"#BD0026"
"119","1.3.69.17","1.3.69",-16.35769348,-71.5520391,"2016-09-16",1,0.0280179749230137,0.102209805616159,3,"#BD0026"
"120","1.3.68.26","1.3.68",-16.35221079,-71.54772267,"1997-01-01",1,0.0280000723807834,0.1008960851905,22,"#BD0026"
"121","1.3.49.29","1.3.49",-16.34608019,-71.54385652,"1997-01-01",1,0.0279953660678927,0.102396867254237,22,"#BD0026"
"122","1.3.69.694","1.3.69",-16.35168803,-71.54884026,"1997-01-01",1,0.0279793197881415,0.0996156444628958,22,"#BD0026"
"123","1.3.50.32","1.3.50",-16.34195093,-71.54572817,"1997-01-01",1,0.0279737614023551,0.101801229646676,22,"#BD0026"
"124","1.3.67.193","1.3.67",-16.35023765,-71.5460104,"1997-01-01",1,0.0279688643814694,0.100809455587977,22,"#BD0026"
"125","1.3.69.129","1.3.69",-16.35535598,-71.55148556,"1997-01-01",1,0.0279680229225471,0.102434235930466,22,"#BD0026"
"126","1.3.67.174","1.3.67",-16.3506209,-71.54604956,"1997-01-01",1,0.0279505482495008,0.100873219911845,22,"#BD0026"
"127","1.3.67.140","1.3.67",-16.35082008,-71.54619422,"1997-01-01",1,0.0279412990672521,0.100814099595864,22,"#BD0026"
"128","1.3.69.471","1.3.69",-16.3516031,-71.55306623,"1997-01-01",1,0.0279410390721268,0.101220272857403,22,"#BD0026"
"129","1.3.67.178","1.3.67",-16.35008435,-71.5457175,"1997-01-01",1,0.0279165713807462,0.101019575231814,22,"#BD0026"
"130","1.3.67.154","1.3.67",-16.35097855,-71.5462793,"1997-01-01",1,0.027874003452977,0.100612564298105,22,"#BD0026"
"131","1.3.68.5","1.3.68",-16.35207087,-71.54842954,"1997-01-01",1,0.0278569909818169,0.100238131060224,22,"#BD0026"
"132","1.3.69.74","1.3.69",-16.35575915,-71.55161226,"2018-05-10",0,0.027836586613778,0.0979820603042329,1,"#BD0026"
"133","1.3.67.105","1.3.67",-16.35245741,-71.54652177,"1997-01-01",1,0.0277851260531636,0.100241389052391,22,"#BD0026"
"134","1.3.67.71","1.3.67",-16.35126668,-71.54709228,"1997-01-01",1,0.0277816112688122,0.100406034470342,22,"#BD0026"
