"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"1","1.24.11A.167","1.24.11A",-16.42506519,-71.61728844,"0",1,0.0566409810277071,0.174271612632631,9,"#BD0026"
"2","1.24.11A.166","1.24.11A",-16.42512182,-71.61704517,"0",1,0.0343367521649327,0.132692012074565,23,"#BD0026"
"3","1.24.11A.168","1.24.11A",-16.42489328,-71.61757838,"0",1,0.0290602392777018,0.121587867314578,23,"#BD0026"
"4","1.24.9.15","1.24.9",-16.43999191,-71.58559531,"2010-03-30",0,0.024325409601525,0.108555417227565,10,"#BD0026"
"5","1.24.11.105","1.24.11",-16.42922424,-71.60180995,"2013-11-02",0,0.0237532771379336,0.107224582501309,7,"#BD0026"
"6","1.24.11A.165","1.24.11A",-16.42522688,-71.6168683,"0",1,0.0237005246883702,0.107931235224392,23,"#BD0026"
"7","1.24.11A.164","1.24.11A",-16.42571286,-71.61685156,"0",1,0.0196241625551464,0.0983422137997309,23,"#BD0026"
"8","1.24.11A.170","1.24.11A",-16.42545005,-71.61760558,"0",1,0.0188980417098448,0.0938490739727429,9,"#BD0026"
"9","1.24.11A.169","1.24.11A",-16.42512782,-71.61758229,"0",1,0.0187497502605523,0.0890085687654464,9,"#BD0026"
"10","1.24.10.205","1.24.10",-16.43463771,-71.5989228,"2013-11-25",0,0.0180083995777818,0.089104721695236,7,"#BD0026"
"11","1.24.11.106","1.24.11",-16.42932685,-71.60173599,"2010-03-25",0,0.0178998053219244,0.089061622175039,10,"#BD0026"
"12","1.24.11A.160","1.24.11A",-16.4240327,-71.61758814,"0",1,0.0167970596800632,0.0899736593729681,23,"#BD0026"
"13","1.24.10.204","1.24.10",-16.43466362,-71.59900611,"2010-03-29",0,0.0165040226226003,0.0839913085822524,10,"#BD0026"
"14","1.24.11A.53","1.24.11A",-16.4171493,-71.60697628,"0",1,0.0157985836065923,0.0871499753075509,23,"#BD0026"
"15","1.24.11A.103","1.24.11A",-16.42042381,-71.61586282,"0",1,0.0157940479270434,0.0871675009021623,23,"#BD0026"
"16","1.24.11A.25","1.24.11A",-16.41961575,-71.60038199,"0",1,0.0157562463549131,0.0870673088217553,23,"#BD0026"
"17","1.24.11A.61","1.24.11A",-16.42252542,-71.61223053,"0",1,0.0156966332969621,0.0870295709460831,23,"#BD0026"
