"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"1","1.1.2.1063","1.1.2",-16.37442625,-71.51108606,"0",1,0.0255793068272623,0.0976639462203032,22,"#BD0026"
"2","1.1.33.75","1.1.33",-16.36812875,-71.50995841,"1997-01-01",1,0.0248816490552363,0.095688087823273,22,"#BD0026"
"3","1.1.2.1003","1.1.2",-16.37562857,-71.51186555,"0",1,0.0246624484647016,0.0950587255977434,22,"#BD0026"
"4","1.1.2.1050","1.1.2",-16.37477532,-71.51167178,"0",1,0.0246263219199036,0.0949153010985818,22,"#BD0026"
"5","1.1.31.29","1.1.31",-16.37104401,-71.51658178,"0",1,0.024243475073472,0.0938246770549338,22,"#BD0026"
"6","1.1.35.31","1.1.35",-16.37448783,-71.50873585,"1997-01-01",1,0.0242260124461253,0.0937652268829805,22,"#BD0026"
"7","1.1.35.1","1.1.35",-16.37556437,-71.50984124,"1997-01-01",1,0.024180123129084,0.0936782049316554,22,"#BD0026"
"8","1.1.34.281","1.1.34",-16.36992727,-71.50941219,"1997-01-01",1,0.024137701295915,0.0934662962876423,22,"#BD0026"
"9","1.1.3.636","1.1.3",-16.37166715,-71.51507909,"1997-01-01",1,0.0241028534584578,0.0934678917510119,22,"#BD0026"
"10","1.1.2.1037","1.1.2",-16.37518126,-71.51222078,"0",1,0.0239863495999834,0.0930036183804833,22,"#BD0026"
"11","1.1.3.498","1.1.3",-16.37422593,-71.51267709,"1997-01-01",1,0.0239198730324292,0.0927459882714216,22,"#BD0026"
"12","1.1.31.42","1.1.31",-16.37013039,-71.51625477,"0",1,0.0238461233021333,0.0926359961670275,22,"#BD0026"
"13","1.1.3.721","1.1.3",-16.37358565,-71.51375577,"2017-11-02",1,0.0235457988915346,0.0916998245077131,2,"#BD0026"
"14","1.1.3.712","1.1.3",-16.37298138,-71.51410333,"1997-01-01",1,0.0235165644712249,0.0916847021044919,22,"#BD0026"
"15","1.1.3.578","1.1.3",-16.3724549,-71.51303778,"2017-10-16",1,0.0233614933513409,0.0911375355006651,2,"#BD0026"
"16","1.1.2.932","1.1.2",-16.37686841,-71.5123442,"0",1,0.0233297216209714,0.0910778236639117,22,"#BD0026"
"17","1.1.31.30","1.1.31",-16.37078389,-71.51769366,"0",1,0.0232096981300994,0.0907518462136823,22,"#BD0026"
"18","1.1.3.713","1.1.3",-16.37249811,-71.51354454,"2017-11-02",1,0.0231284644416672,0.090391808059393,2,"#BD0026"
"19","1.1.31.20","1.1.31",-16.37033471,-71.51588436,"0",1,0.0230697969098438,0.0902759957182434,22,"#BD0026"
"20","1.1.2.988","1.1.2",-16.37664451,-71.51186067,"0",1,0.0230293444720808,0.0901439143340935,22,"#BD0026"
"21","1.1.3.634","1.1.3",-16.37040415,-71.51458867,"1997-01-01",1,0.0229170535609989,0.0898312943065684,22,"#BD0026"
"22","1.1.31.2","1.1.31",-16.37127305,-71.51716217,"0",1,0.0228089818149523,0.0894774929639213,22,"#BD0026"
"23","1.1.3.650","1.1.3",-16.37157056,-71.51628721,"1997-01-01",1,0.0227988770626792,0.0894529487620067,22,"#BD0026"
"24","1.1.2.933","1.1.2",-16.3766495,-71.51250362,"0",1,0.0227365264076735,0.0892540639252641,22,"#BD0026"
"25","1.1.31.43","1.1.31",-16.37027974,-71.51559793,"0",1,0.0226562559030515,0.0890296272472842,22,"#BD0026"
"26","1.1.31.16","1.1.31",-16.37053378,-71.51633039,"0",1,0.022440822207784,0.0883289102039025,22,"#BD0026"
"27","1.1.35.5","1.1.35",-16.37516693,-71.51029137,"1997-01-01",1,0.0223521017223343,0.0881236280584939,22,"#BD0026"
"28","1.1.3.559","1.1.3",-16.37242734,-71.51261008,"2017-10-06",1,0.0223441824566915,0.0880405295987408,2,"#BD0026"
"29","1.1.34.452","1.1.34",-16.37176431,-71.51028565,"1997-01-01",1,0.022280370671244,0.0880175153323645,22,"#BD0026"
"30","1.1.32.5","1.1.32",-16.36985303,-71.51296961,"1997-01-01",1,0.0221477898919044,0.0875570926052928,22,"#BD0026"
