"","UNICODE","codeLoc","LATITUDE","LONGITUDE","recentinsp","not_sprayed","probability","uncertainty","time","color"
"1","1.24.5.283A","1.24.5",-16.43976601,-71.59910029,"2015-04-08",1,0.106100060539761,0.186861840370668,4,"#BD0026"
"2","1.24.5.273A","1.24.5",-16.439701,-71.59927645,"2014-03-11",1,0.103260097980175,0.184297055556422,5,"#BD0026"
"3","1.24.5.36","1.24.5",-16.44008316,-71.59503453,"2015-06-10",1,0.101215438999796,0.180834653524414,4,"#BD0026"
"4","1.24.5.36A","1.24.5",-16.44008316,-71.59503453,"2015-06-10",1,0.101215438999796,0.180834653524414,4,"#BD0026"
"5","1.24.5.39A","1.24.5",-16.4400649,-71.59531517,"2014-02-11",1,0.0995321618095829,0.179698146901146,5,"#BD0026"
"6","1.24.5.39D","1.24.5",-16.4400649,-71.59531517,"2015-08-28",1,0.0995321618095829,0.179698146901146,4,"#BD0026"
"7","1.24.5.39B","1.24.5",-16.4400649,-71.59531517,"2015-08-28",1,0.0995321618095829,0.179698146901146,4,"#BD0026"
"8","1.24.5.39E","1.24.5",-16.4400649,-71.59531517,"2015-08-28",1,0.0995321618095829,0.179698146901146,4,"#BD0026"
"9","1.24.5.42E","1.24.5",-16.44009425,-71.59561157,"2009-06-22",1,0.0995091680298668,0.180137639638523,10,"#BD0026"
"10","1.24.5.42F","1.24.5",-16.44009425,-71.59561157,"2010-05-16",1,0.0995091680298668,0.180137639638523,9,"#BD0026"
"11","1.24.5.223A","1.24.5",-16.43917469,-71.59820668,"2015-04-13",1,0.097097066804908,0.181196933630975,4,"#BD0026"
"12","1.24.5.42D","1.24.5",-16.44041074,-71.5959208,"2010-03-11",1,0.0955331509658844,0.180009459216703,9,"#BD0026"
"13","1.24.6.118A","1.24.6",-16.44029752,-71.59491161,"2015-01-17",1,0.0953355652390484,0.176455211555727,4,"#BD0026"
"14","1.24.6.118B","1.24.6",-16.44029752,-71.59491161,"2014-12-17",1,0.0953355652390484,0.176455211555727,5,"#BD0026"
"15","1.24.6.118C","1.24.6",-16.44029752,-71.59491161,"2014-12-17",1,0.0953355652390484,0.176455211555727,5,"#BD0026"
"16","1.24.6.118E","1.24.6",-16.44029752,-71.59491161,"2014-12-17",1,0.0953355652390484,0.176455211555727,5,"#BD0026"
"17","1.24.5.40A","1.24.5",-16.43999107,-71.59555762,"2012-05-10",1,0.0948513633753148,0.171950715471042,7,"#BD0026"
"18","1.24.6.117A","1.24.6",-16.44044888,-71.59481444,"2014-03-12",1,0.0947714923923181,0.176575218165776,5,"#BD0026"
"19","1.24.6.117B","1.24.6",-16.44044888,-71.59481444,"2015-01-17",1,0.0947714923923181,0.176575218165776,4,"#BD0026"
"20","1.24.6.117C","1.24.6",-16.44044888,-71.59481444,"2016-12-21",1,0.0947714923923181,0.176575218165776,3,"#BD0026"
"21","1.24.6.117D","1.24.6",-16.44044888,-71.59481444,"2014-12-17",1,0.0947714923923181,0.176575218165776,5,"#BD0026"
"22","1.24.6.80","1.24.6",-16.43967877,-71.59365278,"2010-03-18",1,0.0943072800941899,0.178731361524578,9,"#BD0026"
