"","X","UNICODE","codeLoc","LATITUDE","LONGITUDE","check","recent_insp","condition","probability","uncertainty","recentinsp","not_sprayed","group_num","order","color"
"461",461,"1.8.10.81","1.8.10",-16.44647852,-71.51956434,0,NA,0,0.149667280275632,0.217294303519363,11,1,1,1,"blue"
"269",269,"1.8.10.80","1.8.10",-16.44648546,-71.51944495,0,"2007-04-12",2,0.0865465982911516,0.153601116456449,5,0,1,2,"gray"
"459",459,"1.8.10.79","1.8.10",-16.44649444,-71.51935786,0,"2007-04-16",2,0.0852394888234799,0.15067395490805,7,0,1,3,"gray"
"378",378,"1.8.10.90","1.8.10",-16.44631715,-71.51938082,0,"2007-04-12",1,0.0839863601689538,0.153380139947348,5,0,1,4,"gray"
"339",339,"1.8.10.82","1.8.10",-16.44639052,-71.51957302,0,"2007-04-12",1,0.0838272862147295,0.152680736194827,5,0,1,5,"gray"
"254",254,"1.8.10.89","1.8.10",-16.44622281,-71.51937956,0,"2007-04-24",1,0.0789756186020978,0.146070806223321,12,0,1,6,"gray"
"272",272,"1.8.10.88","1.8.10",-16.44610573,-71.51934015,0,"2007-04-12",1,0.0771844583124981,0.144155629655821,5,0,1,7,"gray"
"462",462,"1.8.10.83","1.8.10",-16.44628902,-71.51956822,0,"2007-04-13",1,0.0762985494667248,0.140409051726893,6,0,1,8,"gray"
"271",271,"1.8.10.86","1.8.10",-16.44608879,-71.51950651,0,"2007-04-16",1,0.0745337976875231,0.139437042613347,7,0,1,9,"gray"
"270",270,"1.8.10.84","1.8.10",-16.44619627,-71.51957693,0,"2007-04-12",1,0.0735866769041302,0.136544697031695,5,0,1,10,"gray"
"340",340,"1.8.10.87","1.8.10",-16.44609888,-71.51941825,0,"2007-04-12",1,0.0706899526049511,0.131523596210474,5,0,1,11,"gray"
"1498",1498,"1.8.6.141","1.8.6",-16.44804668,-71.5147568,0,NA,0,0.143886525346025,0.207001667066145,58,1,2,1,"blue"
"1496",1496,"1.8.6.139","1.8.6",-16.44788502,-71.51466754,0,NA,0,0.138749168235822,0.202540964373631,51,1,2,2,"gray"
"1497",1497,"1.8.6.140","1.8.6",-16.44795426,-71.51471422,0,NA,0,0.137063069692603,0.197829908831719,51,1,2,3,"gray"
"1508",1508,"1.8.6.156","1.8.6",-16.4478627,-71.51497095,0,"2007-07-25",1,0.0923948255464017,0.159021670098505,58,0,2,4,"gray"
"1413",1413,"1.8.6.156A","1.8.6",-16.44783996,-71.51490429,0,"2007-12-10",1,0.086942872665342,0.152076330321192,51,0,2,5,"gray"
"1457",1457,"1.8.6.136","1.8.6",-16.44759479,-71.5148809,0,"2007-12-07",1,0.0694473119162535,0.131416896687363,50,0,2,6,"gray"
"1456",1456,"1.8.6.135","1.8.6",-16.44757565,-71.51480247,0,"2007-07-24",1,0.0678504430548766,0.128332212809764,51,0,2,7,"gray"
"1494",1494,"1.8.6.134","1.8.6",-16.44755694,-71.5147051,0,"2007-12-10",1,0.0671179497090487,0.126938973251964,51,0,2,8,"gray"
"1455",1455,"1.8.6.133","1.8.6",-16.44743053,-71.51471422,0,"2007-12-11",1,0.0664503417142888,0.12626959338469,52,0,2,9,"gray"
"658",658,"1.8.8.59","1.8.8",-16.44625875,-71.51840398,0,NA,0,0.141692606811089,0.206650749890442,22,1,3,1,"blue"
"528",528,"1.8.8.60","1.8.8",-16.44619928,-71.51848661,0,"2007-05-09",2,0.0870184488027458,0.15540091927519,14,0,3,2,"gray"
