IDENT,DISTRITO,UNICODE,Sin unicode
C.S. TIABAYA,Tiabaya,1.24.1.804,
C.S. CERRO VERDE,Uchumayo,1.23.14.86,
P.S. CONGATA,Uchumayo,1.23.9.129,
P.S. UCHUMAYO,Uchumayo,1.23.23.13,
P.S. SACHACA,Sachaca,1.18.25.265,
P.S. PAMPA DE CAMARONES,Sachaca,1.18.23.582,
C.S. HUNTER,Hunter,1.7.24.478,
P.S. CAMINOS DEL INCA,Hunter,1.7.18.102,
P.S. DANIEL ALCIDES CARRION,Hunter,1.7.30.109,
P.S. ALTO ALIANZA,Hunter,1.7.39.376,
P.S. AMP. PAMPAS DEL CUSCO,Hunter,1.7.8A.413,
P.S. UPIS PAISAJISTA,Hunter,1.7.41.69,
P.S. CHILPINILLA,Hunter,1.7.26.14,
C.S. SAN MARTIN SOCABAYA,Socabaya,1.25.45.236,
P.S. SALAVERRY,Socabaya,1.25.1.929,
P.S. CIUDAD MI TRABAJO,Socabaya,1.25.22.136,
C.S. 4 DE OCTUBRE,Socabaya,1.25.3.320,
P.S. LARA,Socabaya,1.25.10.214,
P.S. SAN FERNADO,Socabaya,1.25.29.9,
P.S. HORACIO ZEVALLOS,Socabaya,1.25.26.2480,1
C.S. VICTOR RAUL HINOJOSA,Jose Luis Bustamente y Rivero,1.8.12.332,1
P.S. LAS ESMERALDAS,Jose Luis Bustamente y Rivero,1.8.5.298,
P.S. SIGLO XX,Jose Luis Bustamente y Rivero,1.8.40,1
P.S. FELIX NAQUIRA,Jose Luis Bustamente y Rivero,1.8.33.204,
P.S. 13 DE ENERO,Jose Luis Bustamente y Rivero,1.8.16.411,
P.S. CERRO JULY,Jose Luis Bustamente y Rivero,1.8.17.69,
C.S. MANUEL PRADO,Paucarpata,1.13.76.197,
C.S AMPLIACION PAUCARPATA,Paucarpata,1.13.62.269,
C.S. CAMPO MARTE,Paucarpata,1.13.56.700,
C.S. NUEVA ALBORADA,Paucarpata,1.13.9.272,
C.S. CIUDAD BLANCA,Paucarpata,1.13.51.1634,
C.S. SAN JUAN,Paucarpata,1.13.46.482,
PS ISRAEL,Paucarpata,1.13.50.871,
P.S.VILLA JESUS,Paucarpata,1.13.35.27,
P.S. ALTO JESUS,Paucarpata,1.13.54.254,
C.S.15 DE AGOSTO,Paucarpata,1.13.95.389,
P.S. MODULO A,Paucarpata,1.13.100.175,
P.S. MODULO B,Paucarpata,1.13.99.1119,
P.S. MODULO C-D,Paucarpata,1.13.104.153,
C.S. MARIANO MELGAR,Mariano Melgar,1.10.1.288,
P.S. ATALAYA,Mariano Melgar,1.10.13.140,
P.S EL MIRADOR,Mariano Melgar,1.10.18.177,
P.S. SANTA ROSA,Mariano Melgar,1.10.38.595,
C.S. GENERALISIMO SAN MARTIN,Mariano Melgar,1.10.37.613,
P.S JERUSALEN,Mariano Melgar,1.10.36.176,
C.S. MIRAFLORES,Miraflores,1.11.9.1002,
C.S. EDIFICADORES MISTI,Miraflores,1.11.18.403,
P.S. EL PORVENIR,Miraflores,1.11.22.939,
P.S. TOMASA T. CONDEMAYTA,Miraflores,1.11.52.238,
P.S. MATEO PUMACAHUA,Miraflores,1.11.55.123,
C.S. ALTO SELVA ALEGRE,Alto Selva Alegre,1.1.2.458,
P.S. APURIMAC,Alto Selva Alegre,1.1.34.449,
P.S. LEONES DEL MISTI,Alto Selva Alegre,1.1.38.98,
P.S. SAN JUAN BAUTISTA,Alto Selva Alegre,1.1.75.92,
C.S. INDEPENDENCIA,Alto Selva Alegre,1.1.78.193,
P.S. HEROES DEL CENEPA,Alto Selva Alegre,1.1.27.22,
C.S. FRANCISCO BOLOGNESI,Cayma,1.3.43.21,
C.S. BUENOS AIRES,Cayma,1.3.69.669,
P.S. LA TOMILLA,Cayma,1.3.39.53,
P.S. RAFAEL BELAUNDE,Cayma,1.3.57.461,
P.S. DEAN VALDIVIA,Cayma,1.3.93.289,
P.S. SAN JOSE  CAYMA,Cayma,1.3.74.301,
